Pond,Crop ID,Hectares,Stocking Date,Stocking,SD(psm),Sampling Date,DOC,Week,ABW,Weekly Inc,AWG(g),AWG 1,AWG 2,AWG 3,FCR,TCF,Weekly TCF(kg),BM,BM 1,ABW 1,BM 2,ABW 2,BM 3,ABW 3,Survival,Survival  Rate,status,spanningYear,cycle
G8,F1G08C22025.24,3.0,09-03-2025,477000,16,28-05-2025,80,11.4,23.81,3.07,2.08,3.51,1.52,3.45,1.11,7568.0,1377.0,6814.4,7386.82,25.8,7959.22,27.8,8531.62,29.8,286200.0,60%,HARVESTED,2024-2025,2.0
G8,F1G08C12024.23,3.0,29-10-2024,871572,29,26-02-2025,120,17.1,23.37,2.13,1.36,1.79,1.85,1.41,2.61,20188.0,1222.0,7740.1,8402.47,25.4,9064.87,27.4,9727.26,29.4,331197.36,38%,HARVESTED,2024-2025,1.0
G8,F1G08C12025.25,3.0,15-10-2025,1050629,35,29-10-2025,14,2.0,0.31,0.06,0.15,0.29,0.0,0.0,2.58,797.0,330.0,309.4,2305.61,2.3,0.0,4.3,0.0,6.3,998097.55,95%,ACTIVE,2025-2026,1.0
G7,F1G07C22025.24,3.0,09-03-2025,475000,16,11-06-2025,94,13.4,24.16,0.13,1.80,2.21,2.54,1.91,2.28,9408.0,1015.0,4131.4,4473.36,26.2,4815.36,28.2,5157.36,30.2,171000.0,36%,HARVESTED,2024-2025,2.0
G7,F1G07C12024.23,3.0,30-10-2024,871638,29,26-02-2025,119,17.0,24.7,1.71,1.45,1.62,1.5,1.33,2.37,18873.0,1179.0,7965.9,8610.91,26.7,9255.92,28.7,9900.94,30.7,322506.06,37%,HARVESTED,2024-2025,1.0
G7,F1G07C12025.25,3.0,15-10-2025,1048996,35,29-10-2025,14,2.0,0.31,0.06,0.15,0.29,0.0,0.0,2.58,797.0,330.0,308.9,2302.02,2.3,0.0,4.3,0.0,6.3,996546.2,95%,ACTIVE,2025-2026,1.0
G6,F1G06C22025.24,3.0,24-03-2025,1047948,35,09-07-2025,107,15.3,19.23,1.15,1.26,0.86,2.64,0.37,1.73,19164.0,2054.0,11083.6,12236.36,21.2,13389.11,23.2,14541.85,25.2,576371.4,55%,HARVESTED,2024-2025,2.0
G6,F1G06C12024.23,3.0,30-10-2024,871686,29,26-02-2025,119,17.0,22.95,1.89,1.35,1.19,1.42,1.84,2.89,19097.0,1173.0,6601.7,7177.02,24.9,7752.34,26.9,8327.65,28.9,287656.38,33%,HARVESTED,2024-2025,1.0
G6,F1G06C12025.25,3.0,15-10-2025,1048662,35,29-10-2025,14,2.0,0.31,0.06,0.15,0.29,0.0,0.0,2.58,797.0,330.0,308.8,2301.29,2.3,0.0,4.3,0.0,6.3,996228.9,95%,ACTIVE,2025-2026,1.0
G5,F1G05C22025.23,3.0,24-03-2025,899442,30,03-07-2025,101,14.4,18.15,0.68,1.26,1.73,1.0,1.86,1.58,14159.0,1737.0,8978.7,9968.07,20.1,10957.45,22.1,11946.84,24.1,494693.1,55%,HARVESTED,2024-2025,2.0
G5,F1G05C12024.22,3.0,30-10-2024,870849,29,26-02-2025,119,17.0,24.81,2.28,1.46,2.53,1.31,1.91,2.37,19482.0,1176.0,8210.2,8872.04,26.8,9533.88,28.8,10195.73,30.8,330922.62,38%,HARVESTED,2024-2025,1.0
G5,F1G05C12025.24,3.0,15-10-2025,1048914,35,29-10-2025,14,2.0,0.31,0.06,0.15,0.29,0.0,0.0,2.58,797.0,330.0,308.9,2301.85,2.3,0.0,4.3,0.0,6.3,996468.3,95%,ACTIVE,2025-2026,1.0
G4,F1G04C22025.23,3.0,25-03-2025,1046908,35,25-06-2025,92,13.1,19.35,2.95,1.47,0.44,2.18,0.54,1.31,15980.0,1497.0,12154.6,13410.89,21.4,14667.18,23.4,15923.47,25.4,628144.8,60%,HARVESTED,2024-2025,2.0
G4,F1G04C12024.22,3.0,30-10-2024,900108,30,26-02-2025,119,17.0,20.37,1.67,1.20,1.21,1.76,1.27,3.01,20983.0,1267.0,6967.4,7651.46,22.4,8335.54,24.4,9019.63,26.4,342041.04,38%,HARVESTED,2024-2025,1.0
G4,F1G04C12025.24,3.0,15-10-2025,1048968,35,29-10-2025,14,2.0,0.31,0.06,0.15,0.29,0.0,0.0,2.61,797.0,330.0,305.7,2277.73,2.3,0.0,4.3,0.0,6.3,986029.92,94%,ACTIVE,2025-2026,1.0
G3,F1G03C22025.23,3.0,25-03-2025,897823,30,11-06-2025,78,11.1,16.94,1.45,1.52,1.78,2.35,2.43,0.99,8857.0,1120.0,8973.4,10032.81,18.9,11092.24,20.9,12151.67,22.9,529715.57,59%,HARVESTED,2024-2025,2.0
G3,F1G03C12024.22,3.0,30-10-2024,907115,30,26-02-2025,119,17.0,21.36,1.65,1.26,1.49,1.31,1.76,3.21,20524.0,1253.0,6394.1,6992.77,23.4,7591.46,25.4,8190.16,27.4,299347.95,33%,HARVESTED,2024-2025,1.0
G3,F1G03C12025.24,3.0,15-10-2025,1049664,35,29-10-2025,14,2.0,0.31,0.06,0.15,0.29,0.0,0.0,2.58,797.0,330.0,309.1,2303.49,2.3,0.0,4.3,0.0,6.3,997180.8,95%,ACTIVE,2025-2026,1.0
G2,F1G02C22025.23,3.0,03-04-2025,899566,30,11-06-2025,69,9.9,15.56,3.53,1.58,0.53,1.5,1.19,0.92,9008.0,1641.0,9798.1,11057.46,17.6,12316.85,19.6,13576.25,21.6,629696.2,70%,HARVESTED,2024-2025,2.0
G2,F1G02C12024.22,3.0,31-10-2024,901800,30,19-03-2025,139,19.9,26.98,0.7,1.36,1.01,0.98,1.8,2.32,22023.0,970.0,9488.9,10192.32,29.0,10895.73,31.0,11599.13,33.0,351702.0,39%,HARVESTED,2024-2025,1.0
G2,F1G02C12025.24,3.0,15-10-2025,1048225,35,29-10-2025,14,2.0,0.31,0.06,0.15,0.29,0.0,0.0,2.55,797.0,330.0,311.9,2324.54,2.3,0.0,4.3,0.0,6.3,1006296.0,96%,ACTIVE,2025-2026,1.0
C6,F1C06C22025.23,1.5,28-02-2025,629788,42,11-06-2025,103,14.7,23.8,1.18,1.62,0.97,1.51,1.43,1.43,14142.62,1159.0,9892.7,10724.03,25.8,11555.35,27.8,12386.67,29.8,415660.08,66%,HARVESTED,2024-2025,2.0
C6,F1C06C12024.23,1.5,29-09-2024,634100,42,12-02-2025,136,19.4,22.99,0.16,1.18,0.57,0.54,0.95,1.71,19184.0,927.0,11225.0,12201.54,25.0,13178.06,27.0,14154.57,29.0,488257.0,77%,HARVESTED,2024-2025,1.0
C6,F1C06C12025.24,1.4375,02-10-2025,789584,55,29-10-2025,27,3.9,3.75,1.43,0.97,2.01,0.06,0.35,0.54,1433.69,487.0,2664.8,4086.1,5.8,5507.35,7.8,6928.6,9.8,710625.6,90%,ACTIVE,2025-2026,1.0
C14,F1C14C22025.23,1.5,25-02-2025,629297,42,05-06-2025,100,14.3,23.97,1.13,1.68,2.29,2.63,2.38,1.12,12133.59,1119.1,10860.7,11766.85,26.0,12673.04,28.0,13579.22,30.0,453093.84,72%,HARVESTED,2024-2025,2.0
C14,F1C14C12024.22,1.5,29-09-2024,631620,42,06-02-2025,130,18.6,24.89,0.95,1.34,1.48,0.76,1.14,1.71,18531.0,991.0,10847.5,11719.15,26.9,12590.78,28.9,13462.42,30.9,435817.8,69%,HARVESTED,2024-2025,1.0
C14,F1C14C12025.24,1.4375,03-10-2025,789378,55,30-10-2025,27,3.9,4.19,1.93,1.09,1.95,0.06,0.29,0.48,1474.46,525.3,3042.9,4495.35,6.2,5947.8,8.2,7400.26,10.2,726227.76,92%,ACTIVE,2025-2026,1.0
C15,F1C15C22025.23,1.5,25-02-2025,627817,42,05-06-2025,100,14.3,26.41,1.63,1.85,2.77,2.34,1.42,1.12,13015.85,1092.6,11606.5,12485.39,28.4,13364.34,30.4,14243.28,32.4,439471.9,70%,HARVESTED,2024-2025,2.0
C15,F1C15C12024.22,1.5,30-09-2024,636300,42,13-02-2025,136,19.4,24.8,0.88,1.28,0.75,0.42,0.77,1.78,19327.0,946.0,10888.4,11766.46,26.8,12644.56,28.8,13522.65,30.8,439047.0,69%,HARVESTED,2024-2025,1.0
C15,F1C15C12025.24,1.4375,03-10-2025,788480,55,30-10-2025,27,3.9,3.29,1.08,0.85,1.9,0.06,0.29,0.63,1474.72,526.5,2334.7,3753.95,5.3,5173.22,7.3,6592.48,9.3,709632.0,90%,ACTIVE,2025-2026,1.0
C16,F1C16C22025.23,1.5,26-02-2025,629640,42,12-06-2025,106,15.1,23.56,1.05,1.56,0.99,2.47,2.47,1.34,13349.57,1030.2,9939.0,10782.71,25.6,11626.43,27.6,12470.14,29.6,421858.8,67%,HARVESTED,2024-2025,2.0
C16,F1C16C12024.22,1.5,30-09-2024,635800,42,13-02-2025,136,19.4,26.94,0.64,1.39,1.95,0.86,2.42,1.83,21904.05,2901.8,11989.9,12880.04,28.9,13770.16,30.9,14660.28,32.9,445060.0,70%,HARVESTED,2024-2025,1.0
C16,F1C16C12025.24,1.4375,03-10-2025,788480,55,30-10-2025,27,3.9,3.41,1.41,0.88,1.69,0.06,0.29,0.6,1470.01,522.2,2446.7,3881.76,5.4,5316.8,7.4,6751.83,9.4,717516.8,91%,ACTIVE,2025-2026,1.0
C8,F1C08C22025.24,1.5,27-02-2025,629170,42,11-06-2025,104,14.9,22.15,1.13,1.49,0.73,1.86,1.42,1.51,14079.45,1061.6,9337.2,10180.29,24.1,11023.38,26.1,11866.46,28.1,421543.9,67%,HARVESTED,2024-2025,2.0
C8,F1C08C12024.23,1.5,29-09-2024,634063,42,12-02-2025,136,19.4,28.05,0.98,1.44,1.86,2.0,1.32,1.76,21540.25,2788.8,12272.0,13146.98,30.1,14021.98,32.0,14896.99,34.0,437503.47,69%,HARVESTED,2024-2025,1.0
C8,F1C08C12025.25,1.4375,02-10-2025,790152,55,29-10-2025,27,3.9,3.7,1.25,0.96,2.14,0.06,0.35,0.54,1428.28,481.6,2660.4,4098.52,5.7,5536.59,7.7,6974.67,9.7,719038.32,91%,ACTIVE,2025-2026,1.0
C7,F1C07C22025.24,1.5,27-02-2025,628452,42,11-06-2025,104,14.9,24.0,1.71,1.62,1.66,2.01,1.33,1.29,12683.17,1160.9,9803.9,10620.84,26.0,11437.83,28.0,12254.81,30.0,408493.8,65%,HARVESTED,2024-2025,2.0
C7,F1C07C12024.23,1.5,29-09-2024,633250,42,12-02-2025,136,19.4,21.69,0.87,1.12,1.54,0.33,0.25,2.25,22207.14,2922.2,9889.3,10801.22,23.7,11713.1,25.7,12624.98,27.7,455940.0,72%,HARVESTED,2024-2025,1.0
C7,F1C07C12025.25,1.4375,02-10-2025,789234,55,29-10-2025,27,3.9,3.85,1.35,1.00,2.19,0.06,0.35,0.52,1425.49,476.7,2734.7,4155.32,5.8,5575.94,7.8,6996.56,9.8,710310.6,90%,ACTIVE,2025-2026,1.0
D16,F1D16C22025.23,1.5,18-02-2025,629289,42,29-05-2025,100,14.3,21.18,1.34,1.48,1.25,2.33,1.73,1.57,12798.0,1382.0,8130.3,8898.02,23.2,9665.76,25.2,10433.49,27.2,383866.29,61%,HARVESTED,2024-2025,2.0
D16,F1D16C12024.22,1.5,28-09-2024,632700,42,26-12-2024,89,12.7,20.11,2.47,1.58,2.55,1.46,1.68,1.2,10714.0,1336.0,8906.5,9792.3,22.1,10678.08,24.1,11563.86,26.1,442890.0,70%,HARVESTED,2024-2025,1.0
D16,F1D16C12025.24,1.4375,03-10-2025,790296,55,30-10-2025,27,3.9,3.07,0.97,0.80,1.79,0.1,0.29,0.65,1398.0,542.0,2135.1,3525.98,5.1,4916.9,7.1,6307.82,9.1,695460.48,88%,ACTIVE,2025-2026,1.0
E1,F1E01C22025.23,1.5,17-02-2025,632570,42,04-06-2025,107,15.3,24.05,2.05,1.57,1.29,2.4,1.65,1.51,15121.0,1260.0,10040.8,10875.77,26.1,11710.76,28.1,12545.76,30.1,417496.2,66%,HARVESTED,2024-2025,2.0
E1,F1E01C12024.22,1.5,23-09-2024,632700,42,08-01-2025,107,15.3,21.98,2.21,1.44,2.87,1.31,1.2,1.26,12795.0,1318.0,10151.9,11075.66,24.0,11999.4,26.0,12923.15,28.0,461871.0,73%,HARVESTED,2024-2025,1.0
E1,F1E01C12025.24,1.4375,21-09-2025,787575,55,29-10-2025,38,5.4,7.99,1.99,1.47,2.79,2.47,0.46,0.45,2401.0,596.0,5348.8,6687.7,10.0,8026.57,12.0,9365.45,14.0,669438.75,85%,ACTIVE,2025-2026,1.0
E2,F1E02C22025.23,1.5,17-02-2025,634850,42,28-05-2025,100,14.3,21.19,2.09,1.48,1.36,2.06,2.35,1.49,14385.0,1556.0,9685.8,10599.96,23.2,11514.15,25.2,12428.33,27.2,457092.0,72%,HARVESTED,2024-2025,2.0
E2,F1E02C12024.22,1.5,23-09-2024,632700,42,08-01-2025,107,15.3,20.48,0.48,1.34,3.52,1.32,0.85,1.44,14359.0,1482.0,9977.4,10951.79,22.5,11926.15,24.5,12900.5,26.5,487179.0,77%,HARVESTED,2024-2025,1.0
E2,F1E02C12025.24,1.4375,21-09-2025,789981,55,29-10-2025,38,5.4,8.15,1.97,1.50,3.2,2.24,0.46,0.45,2388.0,583.0,5343.8,6655.2,10.2,7966.57,12.2,9277.94,14.2,655684.23,83%,ACTIVE,2025-2026,1.0
E3,F1E03C22025.23,1.5,16-02-2025,635660,42,21-05-2025,94,13.4,18.36,1.24,1.37,1.83,2.72,1.43,1.48,12988.0,1475.0,8753.0,9706.53,20.4,10660.02,22.4,11613.51,24.4,476745.0,75%,HARVESTED,2024-2025,2.0
E3,F1E03C12024.22,1.5,22-09-2024,634700,42,01-01-2025,101,14.4,20.08,1.26,1.39,1.69,2.0,1.49,1.36,12665.0,1322.0,9303.7,10230.35,22.1,11157.01,24.1,12083.68,26.1,463331.0,73%,HARVESTED,2024-2025,1.0
E3,F1E03C12025.24,1.4375,21-09-2025,770652,54,29-10-2025,38,5.4,7.66,1.58,1.41,3.16,2.18,0.46,0.49,2405.0,600.0,4899.6,6178.93,9.7,7458.21,11.7,8737.5,13.7,639641.16,83%,ACTIVE,2025-2026,1.0
E4,F1E04C22025.23,1.5,16-02-2025,635660,42,28-05-2025,101,14.4,19.04,0.33,1.32,1.28,2.12,2.22,1.61,14655.0,1557.0,9077.2,10030.71,21.0,10984.2,23.0,11937.69,25.0,476745.0,75%,HARVESTED,2024-2025,2.0
E4,F1E04C12024.22,1.5,22-09-2024,637700,43,01-01-2025,101,14.4,20.73,1.86,1.44,4.0,0.07,1.45,1.26,12686.0,1250.0,10046.8,11016.14,22.7,11985.45,24.7,12954.75,26.7,484652.0,76%,HARVESTED,2024-2025,1.0
E4,F1E04C12025.24,1.4375,21-09-2025,770232,54,29-10-2025,38,5.4,7.83,1.5,1.44,3.52,2.07,0.46,0.49,2451.0,625.0,5005.7,6284.25,9.8,7562.83,11.8,8841.42,13.8,639292.56,83%,ACTIVE,2025-2026,1.0
E5,F1E05C22025.23,1.5,16-02-2025,633600,42,14-05-2025,87,12.4,17.98,2.37,1.45,1.11,3.31,1.77,1.41,11417.0,1584.0,8088.4,8988.12,20.0,9887.83,22.0,10787.55,24.0,449856.0,71%,HARVESTED,2024-2025,2.0
E5,F1E05C12024.22,1.5,22-09-2024,637700,43,01-01-2025,101,14.4,20.6,2.53,1.43,0.56,1.81,2.08,1.25,12677.0,1111.0,10115.2,11097.26,22.6,12079.32,24.6,13061.37,26.6,491029.0,77%,HARVESTED,2024-2025,1.0
E5,F1E05C12025.24,1.4375,21-09-2025,769993,54,29-10-2025,38,5.4,6.77,2.34,1.25,1.43,2.26,0.46,0.57,2535.0,703.0,4483.1,5807.44,8.8,7131.83,10.8,8456.21,12.8,662193.98,86%,ACTIVE,2025-2026,1.0
E6,F1E06C22025.23,1.5,16-02-2025,632281,42,21-05-2025,94,13.4,21.61,1.99,1.61,2.28,2.66,1.74,1.43,12508.0,1488.0,8744.7,9554.02,23.6,10363.34,25.6,11172.66,27.6,404659.84,64%,HARVESTED,2024-2025,2.0
E6,F1E06C12024.23,1.5,22-09-2024,631020,42,18-12-2024,87,12.4,20.49,3.01,1.65,1.86,2.29,2.73,0.97,9982.0,1336.0,10343.7,11353.31,22.5,12362.94,24.5,13372.58,26.5,504816.0,80%,HARVESTED,2024-2025,1.0
E6,F1E06C12025.24,1.4375,21-09-2025,768612,53,29-10-2025,38,5.4,6.95,2.55,1.28,1.39,2.27,0.46,0.55,2526.0,704.0,4594.0,5916.0,8.9,7238.02,10.9,8560.03,12.9,661006.32,86%,ACTIVE,2025-2026,1.0
E7,F1E07C22025.23,1.5,16-02-2025,632000,42,11-06-2025,115,16.4,23.85,0.6,1.45,1.62,1.53,2.56,9.36,15518.0,370.0,1658.0,1797.09,25.9,1936.13,27.9,2075.17,29.9,69520.0,11%,HARVESTED,2024-2025,2.0
E7,F1E07C12024.23,1.5,22-09-2024,634800,42,25-12-2024,94,13.4,20.65,2.26,1.54,1.73,2.25,1.85,1.27,11678.0,1299.0,9176.0,10064.75,22.6,10953.47,24.6,11842.19,26.6,444360.0,70%,HARVESTED,2024-2025,1.0
E7,F1E07C12025.24,1.4375,21-09-2025,768515,53,29-10-2025,38,5.4,8.26,2.62,1.52,2.46,2.44,0.46,0.43,2346.0,607.0,5395.7,6702.22,10.3,8008.69,12.3,9315.17,14.3,653237.75,85%,ACTIVE,2025-2026,1.0
E8,F1E08C22025.23,1.5,16-02-2025,632000,42,21-05-2025,94,13.4,20.18,1.53,1.50,2.39,2.31,1.79,1.44,12860.0,1519.0,8927.6,9812.43,22.2,10697.23,24.2,11582.03,26.2,442400.0,70%,HARVESTED,2024-2025,2.0
E8,F1E08C12024.23,1.5,22-09-2024,634800,42,25-12-2024,94,13.4,19.03,1.55,1.42,2.96,1.72,1.1,1.32,11668.0,1284.0,8818.6,9745.39,21.0,10672.2,23.0,11599.0,25.0,463404.0,73%,HARVESTED,2024-2025,1.0
E8,F1E08C12025.24,1.4375,21-09-2025,768320,53,29-10-2025,38,5.4,6.77,1.0,1.25,2.62,2.41,0.46,0.58,2556.0,714.0,4369.3,5660.06,8.8,6950.84,10.8,8241.61,12.8,645388.8,84%,ACTIVE,2025-2026,1.0
E9,F1E09C22025.23,1.5,17-02-2025,632570,42,22-05-2025,94,13.4,20.94,2.56,1.56,1.84,2.19,2.17,1.36,12816.0,1531.0,9404.7,10302.92,22.9,11201.17,24.9,12099.42,26.9,449124.7,71%,HARVESTED,2024-2025,2.0
E9,F1E09C12024.22,1.5,24-09-2024,633600,42,16-01-2025,114,16.3,21.59,1.02,1.33,1.44,1.57,2.0,1.53,16283.0,1586.0,10670.0,11658.37,23.6,12646.78,25.6,13635.2,27.6,494208.0,78%,HARVESTED,2024-2025,1.0
E9,F1E09C12025.24,1.4375,21-09-2025,699036,49,30-10-2025,39,5.6,8.64,1.73,1.55,3.28,2.75,0.59,0.43,2271.0,599.0,5254.5,6470.83,10.6,7687.16,12.6,8903.48,14.6,608161.32,87%,ACTIVE,2025-2026,1.0
E10,F1E10C22025.23,1.5,17-02-2025,630828,42,29-05-2025,101,14.4,21.3,1.3,1.48,1.61,2.15,2.12,1.51,14586.0,1551.0,9674.4,10582.77,23.3,11491.16,25.3,12399.56,27.3,454196.16,72%,HARVESTED,2024-2025,2.0
E10,F1E10C12024.23,1.5,24-09-2024,633600,42,16-01-2025,114,16.3,22.86,3.25,1.40,0.31,2.11,1.98,1.43,16313.0,1556.0,11442.4,12443.53,24.9,13444.62,26.9,14445.7,28.9,500544.0,79%,HARVESTED,2024-2025,1.0
E10,F1E10C12025.24,1.4375,21-09-2025,701040,49,30-10-2025,39,5.6,8.47,1.02,1.52,2.82,3.75,0.59,0.47,2323.0,646.0,4987.8,6165.51,10.5,7343.25,12.5,8521.0,14.5,588873.6,84%,ACTIVE,2025-2026,1.0
E11,F1E11C22025.23,1.5,17-02-2025,630828,42,29-05-2025,101,14.4,20.62,1.05,1.43,2.21,1.7,1.97,1.54,14607.0,1551.0,9495.6,10416.61,22.6,11337.62,24.6,12258.63,26.6,460504.44,73%,HARVESTED,2024-2025,2.0
E11,F1E11C12024.22,1.5,24-09-2024,635400,42,09-01-2025,107,15.3,21.63,1.08,1.42,2.16,1.35,2.53,1.35,14456.0,1544.0,10720.1,11711.31,23.6,12702.54,25.6,13693.76,27.6,495612.0,78%,HARVESTED,2024-2025,1.0
E11,F1E11C12025.24,1.4375,21-09-2025,750146,52,30-10-2025,39,5.6,8.39,1.9,1.51,1.1,4.51,0.59,0.48,2524.0,693.0,5286.7,6546.98,10.4,7807.22,12.4,9067.47,14.4,630122.64,84%,ACTIVE,2025-2026,1.0
E12,F1E12C22025.23,1.5,17-02-2025,632008,42,08-05-2025,80,11.4,18.18,2.53,1.59,2.01,2.55,2.07,1.07,9223.0,1339.0,8617.4,9565.44,20.2,10513.45,22.2,11461.47,24.2,474006.0,75%,HARVESTED,2024-2025,2.0
E12,F1E12C12024.22,1.5,25-09-2024,633250,42,16-01-2025,113,16.1,23.02,1.6,1.43,1.76,0.97,1.83,1.38,15463.0,1230.0,11224.6,12199.82,25.0,13175.02,27.0,14150.23,29.0,487602.5,77%,HARVESTED,2024-2025,1.0
E12,F1E12C12025.24,1.4375,21-09-2025,748833,52,30-10-2025,39,5.6,8.53,1.61,1.53,3.18,2.86,0.59,0.45,2411.0,580.0,5301.7,6544.72,10.5,7787.79,12.5,9030.85,14.5,621531.39,83%,ACTIVE,2025-2026,1.0
E13,F1E13C22025.23,1.5,18-02-2025,630270,42,05-06-2025,107,15.3,23.5,0.73,1.54,1.95,1.89,1.75,1.57,15075.0,1495.0,9627.4,10446.72,25.5,11266.07,27.5,12085.42,29.5,409675.5,65%,HARVESTED,2024-2025,2.0
E13,F1E13C12024.22,1.5,25-09-2024,630625,42,09-01-2025,106,15.1,22.25,1.85,1.47,2.5,1.51,1.41,2.4,14120.0,1229.0,5893.2,6422.91,24.3,6952.64,26.3,7482.36,28.3,264862.5,42%,HARVESTED,2024-2025,1.0
E13,F1E13C12025.24,1.4375,22-09-2025,700040,49,30-10-2025,38,5.4,9.82,2.11,1.81,3.04,3.93,0.46,0.38,2248.0,561.0,5912.0,7116.05,11.8,8320.12,13.8,9524.19,15.8,602034.4,86%,ACTIVE,2025-2026,1.0
E14,F1E14C22025.23,1.5,18-02-2025,630270,42,29-05-2025,100,14.3,21.98,1.48,1.54,1.8,1.63,2.49,1.55,12898.0,1431.0,8312.0,9068.32,24.0,9824.65,26.0,10580.97,28.0,378162.0,60%,HARVESTED,2024-2025,2.0
E14,F1E14C12024.22,1.5,25-09-2024,637000,42,02-01-2025,99,14.1,21.46,2.82,1.52,1.07,2.62,2.33,1.26,13277.0,1463.0,10525.9,11506.9,23.5,12487.88,25.5,13468.86,27.5,490490.0,77%,HARVESTED,2024-2025,1.0
E14,F1E14C12025.24,1.4375,22-09-2025,698720,49,30-10-2025,38,5.4,8.59,0.89,1.58,3.11,3.85,0.46,0.43,2243.0,567.0,5161.7,6363.52,10.6,7565.32,12.6,8767.12,14.6,600899.2,86%,ACTIVE,2025-2026,1.0
E15,F1E15C22025.23,1.5,18-02-2025,630882,42,29-05-2025,100,14.3,22.42,2.09,1.57,1.97,1.34,2.06,1.55,13572.0,1481.0,8769.5,9551.8,24.4,10334.1,26.4,11116.39,28.4,391146.84,62%,HARVESTED,2024-2025,2.0
E15,F1E15C12024.22,1.5,26-09-2024,632180,42,19-12-2024,84,12.0,19.28,2.16,1.61,2.76,1.8,2.27,0.96,9865.0,1372.0,10238.3,11300.34,21.3,12362.4,23.3,13424.47,25.3,531031.2,84%,HARVESTED,2024-2025,1.0
E15,F1E15C12025.24,1.4375,22-09-2025,699448,49,30-10-2025,38,5.4,9.27,2.21,1.71,2.85,3.47,0.46,0.4,2239.0,560.0,5641.0,6858.02,11.3,8075.06,13.3,9292.1,15.3,608519.76,87%,ACTIVE,2025-2026,1.0
E16,F1E16C22025.23,1.5,18-02-2025,630882,42,29-05-2025,100,14.3,21.13,0.88,1.48,1.35,2.22,2.12,1.65,13166.0,1438.0,7998.3,8755.38,23.1,9512.44,25.1,10269.5,27.1,378529.2,60%,HARVESTED,2024-2025,2.0
E16,F1E16C12024.22,1.5,26-09-2024,635450,42,19-12-2024,84,12.0,19.14,2.59,1.59,2.75,1.23,2.42,0.94,9679.0,1378.0,10338.1,11418.4,21.1,12498.67,23.1,13578.93,25.1,540132.5,85%,HARVESTED,2024-2025,1.0
E16,F1E16C12025.24,1.4375,22-09-2025,699744,49,30-10-2025,38,5.4,9.84,2.57,1.81,2.68,3.85,0.46,0.37,2211.0,547.0,5921.5,7125.07,11.8,8328.63,13.8,9532.19,15.8,601779.84,86%,ACTIVE,2025-2026,1.0
F1,F1F01C22025.23,3.0,24-03-2025,747968,25,11-06-2025,79,11.3,17.16,2.0,1.52,1.61,2.15,2.01,0.98,8636.0,345.0,8856.2,9888.44,19.2,10920.63,21.2,11952.83,23.2,516097.92,69%,HARVESTED,2024-2025,2.0
F1,F1F01C12024.22,3.0,18-10-2024,380940,13,05-03-2025,138,19.7,25.6,2.01,1.30,0.76,0.91,0.9,2.59,13868.0,913.0,5363.6,5782.67,27.6,6201.71,29.6,6620.74,31.6,209517.0,55%,HARVESTED,2024-2025,1.0
F1,F1F01C12025.24,3.0,04-10-2025,1049687,35,29-10-2025,25,3.6,2.69,1.84,0.75,0.56,0.12,0.29,0.68,1784.0,687.0,2626.0,4578.42,4.7,6530.84,6.7,8483.25,8.7,976208.91,93%,ACTIVE,2025-2026,1.0
F2,F1F02C22025.23,3.0,13-04-2025,710780,24,04-07-2025,82,11.7,20.23,1.12,1.73,1.88,2.38,2.91,1.32,10972.0,1325.0,4313.7,5138.22,22.2,5962.73,24.2,6787.23,26.2,412252.4,30%,HARVESTED,2024-2025,2.0
F2,F1F02C12024.22,3.0,18-10-2024,535130,18,26-03-2025,159,22.7,31.73,0.71,1.40,0.71,1.18,1.66,2.41,22101.0,870.0,9169.0,9746.96,33.7,10324.9,35.7,10902.84,37.7,288970.2,54%,HARVESTED,2024-2025,1.0
F2,F1F02C12025.24,3.0,04-10-2025,1050166,35,29-10-2025,25,3.6,2.6,1.77,0.73,0.54,0.12,0.29,0.73,1784.0,687.0,2457.4,4347.69,4.6,6237.99,6.6,8128.29,8.6,945149.4,90%,ACTIVE,2025-2026,1.0
F3,F1F03C22025.23,3.0,12-04-2025,599750,20,25-06-2025,74,10.6,21.98,2.8,2.08,2.95,3.03,2.73,1.21,7970.0,991.0,6591.3,7191.0,24.0,7790.75,26.0,8390.5,28.0,299875.0,50%,HARVESTED,2024-2025,2.0
F3,F1F03C12024.22,3.0,17-10-2024,535583,18,17-10-2024,385,55.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535583.0,0%,HARVESTED,2024-2025,1.0
F3,F1F03C12024.22,3.0,17-10-2024,535583,18,26-03-2025,160,22.9,31.41,0.31,1.37,0.35,1.4,1.79,2.13,21879.0,858.0,10261.8,10915.23,33.4,11568.64,35.4,12222.05,37.4,326705.63,61%,HARVESTED,2024-2025,1.0
F3,F1F03C12025.24,3.0,04-10-2025,1050108,35,29-10-2025,25,3.6,2.7,1.83,0.76,0.58,0.12,0.29,0.68,1784.0,687.0,2636.8,4590.02,4.7,6543.22,6.7,8496.42,8.7,976600.44,93%,ACTIVE,2025-2026,1.0
F4,F1F04C22025.23,3.0,12-04-2025,599500,20,25-06-2025,74,10.6,18.81,1.56,1.78,1.82,2.95,2.85,1.5,9274.0,1328.0,6202.1,6861.58,20.8,7521.03,22.8,8180.48,24.8,329725.0,55%,HARVESTED,2024-2025,2.0
